('10.7.11.235:56968', '10.0.136.7:53')
('10.240.7.187:138', '10.240.31.255:138')
('10.240.0.249:59300', '98.82.156.207:443')
('10.240.3.20:52749', '224.0.0.252:5355')
('10.240.6.178:5353', '224.0.0.251:5353')
('10.7.11.235:55150', '10.0.136.7:53')
('10.240.14.170:55356', '239.255.255.250:1900')
('10.7.11.235:57451', '10.0.136.7:53')
('10.240.11.10:54941', '224.0.0.252:5355')
('10.0.136.7:53', '10.7.11.235:54257')
('18.234.0.179:443', '10.7.11.235:53664')
('10.240.0.249:56006', '49.44.119.171:443')
('10.240.12.75:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:51020')
('10.240.4.157:5353', '224.0.0.251:5353')
('142.250.193.14:443', '10.240.0.249:57381')
('10.240.15.227:57613', '239.255.255.250:1900')
('10.7.11.235:59539', '10.0.136.7:53')
('10.7.11.235:60503', '10.0.136.7:53')
('10.240.2.80:5353', '224.0.0.251:5353')
('10.240.15.225:5353', '224.0.0.251:5353')
('10.240.0.63:5353', '224.0.0.251:5353')
('10.240.11.10:5353', '224.0.0.251:5353')
('10.240.15.238:138', '10.240.31.255:138')
('10.7.11.235:60190', '10.0.136.7:53')
('3.215.193.68:443', '10.240.0.249:55932')
('10.240.6.41:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:60190')
('10.7.11.235:53690', '142.250.199.170:443')
('142.250.199.170:443', '10.7.11.235:53690')
('10.0.136.7:53', '10.7.11.235:56175')
('10.240.0.249:63086', '142.250.183.106:443')
('10.7.11.235:51877', '10.0.136.7:53')
('10.0.136.7:53', '10.240.0.249:55951')
('10.240.3.45:5353', '224.0.0.251:5353')
('10.240.0.37:5353', '224.0.0.251:5353')
('142.250.70.67:443', '10.7.11.235:62419')
('10.0.136.7:53', '10.7.11.235:62198')
('10.240.8.105:5353', '224.0.0.251:5353')
('10.240.0.90:5353', '224.0.0.251:5353')
('10.240.15.136:5353', '224.0.0.251:5353')
('10.240.2.208:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:60030')
('10.240.2.241:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:57738')
('10.7.11.235:55900', '142.250.192.97:443')
('10.240.3.20:51940', '224.0.0.252:5355')
('142.250.183.67:443', '10.240.0.249:56898')
('10.0.136.7:53', '10.7.11.235:51849')
('3.111.224.186:443', '10.7.11.235:53683')
('142.250.71.106:443', '10.7.11.235:64185')
('142.250.71.100:443', '10.240.0.249:57573')
('10.240.3.14:5353', '224.0.0.251:5353')
('10.240.5.246:5353', '224.0.0.251:5353')
('180.149.61.76:443', '10.7.11.235:58746')
('10.7.11.235:61420', '10.0.136.7:53')
('216.239.34.157:443', '10.7.11.235:53677')
('10.7.11.235:63954', '142.251.12.100:443')
('10.240.10.166:59238', '224.0.0.251:5353')
('10.240.15.127:5353', '224.0.0.251:5353')
('10.240.5.200:5353', '224.0.0.251:5353')
('10.240.2.241:51517', '239.255.255.250:1900')
('10.240.0.249:55932', '3.215.193.68:443')
('10.240.8.31:8009', '10.7.11.235:53669')
('10.0.136.7:53', '10.7.11.235:58271')
('10.240.8.31:8009', '10.240.0.249:55948')
('10.7.11.235:61317', '10.0.136.7:53')
('10.240.3.130:138', '10.240.31.255:138')
('13.107.246.48:443', '10.240.0.249:59286')
('10.7.11.235:51701', '10.0.136.7:53')
('10.240.4.178:5353', '224.0.0.251:5353')
('49.44.119.171:443', '10.240.0.249:56006')
('10.240.1.130:60295', '239.255.255.250:1900')
('10.240.0.37:60437', '224.0.0.252:5355')
('142.250.183.165:443', '10.7.11.235:53685')
('10.240.6.57:5353', '224.0.0.251:5353')
('10.240.4.213:5353', '224.0.0.251:5353')
('216.58.200.170:443', '10.7.11.235:61721')
('10.0.136.7:53', '10.7.11.235:58837')
('34.233.9.203:443', '10.7.11.235:53253')
('10.240.8.230:5353', '224.0.0.251:5353')
('10.7.11.235:61721', '216.58.200.170:443')
('10.7.11.235:62633', '10.0.136.7:53')
('10.240.0.249:57981', '10.240.13.188:8009')
('10.240.1.72:59735', '224.0.0.252:5355')
('10.7.11.235:50295', '10.0.136.7:53')
('10.240.1.72:5353', '224.0.0.251:5353')
('10.240.3.95:5353', '224.0.0.251:5353')
('10.240.1.72:62491', '224.0.0.252:5355')
('10.0.136.7:53', '10.7.11.235:61232')
('142.250.192.99:443', '10.7.11.235:50624')
('10.240.8.31:8009', '10.240.0.249:55949')
('142.251.175.188:5228', '10.7.11.235:59745')
('10.240.0.249:62455', '142.250.193.36:443')
('10.7.11.235:53672', '142.250.192.97:443')
('10.240.6.251:137', '10.240.31.255:137')
('10.240.6.11:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.240.0.249:50627')
('52.123.129.14:443', '10.240.0.249:58671')
('10.7.11.235:51020', '10.0.136.7:53')
('10.240.13.188:8009', '10.240.0.249:57981')
('10.240.11.178:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:62633')
('10.240.6.14:5353', '224.0.0.251:5353')
('10.7.11.235:51741', '142.250.192.97:443')
('10.7.11.235:53656', '34.233.206.230:443')
('10.7.11.235:65470', '142.250.194.78:443')
('10.240.5.52:5353', '224.0.0.251:5353')
('98.82.156.207:443', '10.240.0.249:59300')
('10.240.0.249:55951', '10.0.136.7:53')
('10.0.136.7:53', '10.7.11.235:51877')
('142.250.183.10:443', '10.7.11.235:63255')
('10.240.2.215:51148', '239.255.255.250:1900')
('10.0.136.7:53', '10.7.11.235:63052')
('10.7.11.235:53676', '34.226.43.28:443')
('10.240.1.152:60728', '224.0.0.252:5355')
('216.58.200.170:443', '10.7.11.235:62709')
('142.250.70.100:443', '10.7.11.235:52408')
('10.240.3.174:55735', '239.255.255.250:1900')
('10.240.6.50:5353', '224.0.0.251:5353')
('54.192.142.120:443', '10.7.11.235:53674')
('10.7.11.235:50916', '10.0.136.7:53')
('10.240.4.198:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:60539')
('180.149.61.76:443', '10.7.11.235:56347')
('10.240.12.252:5353', '224.0.0.251:5353')
('142.250.77.234:443', '10.7.11.235:51289')
('10.240.6.94:5353', '224.0.0.251:5353')
('10.240.6.157:5353', '224.0.0.251:5353')
('142.250.70.100:443', '10.7.11.235:57215')
('142.250.192.142:443', '10.7.11.235:61796')
('10.240.0.249:55949', '10.240.8.31:8009')
('10.240.0.249:55948', '10.240.8.31:8009')
('10.240.14.63:5353', '224.0.0.251:5353')
('142.250.199.170:443', '10.7.11.235:53692')
('10.240.5.231:60693', '255.255.255.255:137')
('10.240.1.72:55500', '224.0.0.252:5355')
('10.240.14.3:62676', '255.255.255.255:22222')
('10.240.1.108:5353', '224.0.0.251:5353')
('10.7.11.235:60538', '10.0.136.7:53')
('10.240.2.197:5353', '224.0.0.251:5353')
('10.240.0.249:59250', '139.99.123.206:443')
('10.240.8.31:5353', '224.0.0.251:5353')
('10.7.11.235:56175', '10.0.136.7:53')
('10.240.4.52:5353', '224.0.0.251:5353')
('10.240.9.25:5353', '224.0.0.251:5353')
('10.240.10.175:53569', '255.255.255.255:1947')
('10.0.136.7:53', '10.7.11.235:56128')
('10.240.10.175:53343', '255.255.255.255:1947')
('10.0.136.7:53', '10.7.11.235:55150')
('10.0.136.7:53', '10.7.11.235:63346')
('10.240.2.203:138', '10.240.31.255:138')
('142.250.71.106:443', '10.7.11.235:53696')
('10.240.12.204:57621', '10.240.31.255:57621')
('10.240.3.172:59159', '239.255.255.250:1900')
('10.240.15.231:60295', '239.255.255.250:1900')
('142.250.192.97:443', '10.7.11.235:53671')
('10.240.8.105:53937', '239.255.255.250:1900')
('10.240.4.155:1046', '255.255.255.255:1046')
('10.240.4.210:42200', '239.255.255.250:1900')
('10.7.11.235:53691', '142.250.199.170:443')
('10.7.11.235:53688', '142.250.199.170:443')
('10.7.11.235:53687', '142.250.199.170:443')
('142.251.42.69:443', '10.7.11.235:53697')
('10.240.0.249:58375', '142.251.42.46:443')
('10.240.15.129:60235', '255.255.255.255:3956')
('10.0.136.7:53', '10.7.11.235:53958')
('10.240.0.91:51646', '239.255.255.250:1900')
('10.240.2.151:1900', '239.255.255.250:1900')
('10.240.0.249:57924', '18.234.0.179:443')
('10.7.11.235:53670', '142.251.42.69:443')
